Source Sentence	Target Sentence	Predicted Sentence
Blown by the winds, the bombs could land anywhere.	نَفخَ بالرياحِ , القنابل يُمْكِنُ أَنْ تَهْبطَ في أي مكان.	نَفخَ بالرياحِ , القنابل يُمْكِنُ أَنْ تَهْبطَ في أي مكان.
The military became worried about the panic that might develop if the public knew they were Japanese.	الجيش أصبحَ قلقاً حول الرعبِ الذي قَدْ يُتطوّرُ إذا عَرفَ الجمهورَ بأنّهم كَانوا يابانيون.	أصبحت القوات العسكرية قلقة بشأن الهلع الذي قد ينشأ إذا علم الجمهور أنهم يتحدثون اليابانية.
To cover it up, we blamed it on the Royal Canadian Air Force.	لتَغْطيته، ألقينا باللائمة على القوة الجويةِ الكنديةِ الملكيةِ.	لتغطية الأمر، قمنا بإلقاء اللوم على القوات الجوية الملكية الكندية.
We said that they were flying by and the damn thing fell out of the plane.	قُلنَا بأنّهم كَانوا يَطِيرونَ مِن قِبل والشيء الملعون سَقطَ مِنْ الطائرةِ.	قُلنَا بأنّهم كَانوا يَطِيرونَ مِن قِبل والشيء الملعون سَقطَ مِنْ الطائرةِ.
"""Those stupid bastardsl"" We blamed it on them and got away with it."	"""أولئك الأوغاد الاغبياء ""ألقينا باللائمة عليهم وأفلتَوا منها."	"""أولئك الأوغاد الاغبياء ""ألقينا باللائمة عليهم وأفلتَوا منها."
The mystery was how the balloons were getting from Japan to the USA.	اللغز كَمْ المناطيد كَانتْ أعطيت مِنْ اليابان إلى الولايات المتحدة الأمريكية.	الغموض كان في كيفية وصول المناطيد من اليابان إلى الولايات المتحدة.
A balloon that size could only travel for four or five hundred miles, and Japan was over four-and-a-half thousand miles away.	المنطاد بذلك الحجمِ يُمْكِنُ أَنْ يُسافرَ فقط لأربعة أو خمسمائة ميلِ , واليابان كَانتْ على على بعد أربعة و نِصْف آلاف ميلاً.	المنطاد بذلك الحجمِ يُمْكِنُ أَنْ يُسافرَ فقط لأربعة أو خمسمائة ميلِ , واليابان كَانتْ على على بعد أربعة و نِصْف آلاف ميلاً.
The Japanese had already discovered a fast-flowing stream of wind after flying across the Pacific towards the USA in just half the time it took them to get back.	إكتشفَ اليابانيون جدول مُتَدفِّق سريع مِنْ الريحِ بعد الطَيَرَاْن عبر المحيط الهادي نحو الولايات المتحدة الأمريكية في فقط نِصْف الوقت الذي أَخذَهم للعَودة.	اليابانيون قد اكتشفوا بالفعل تيارًا سريعًا من الرياح بعد أن عبروا المحيط الهادئ في اتجاه الولايات المتحدة في نصف الوقت الذي استغرقه العودة.
Not until after the war would the true nature of this wind be revealed.	ليس حتى بعد الحربِ الطبيعةُ الحقيقيةُ هذه الريحِ تَكُونُ منزّلةً.	ليس حتى بعد الحربِ الطبيعةُ الحقيقيةُ هذه الريحِ تَكُونُ منزّلةً.
The Japanese had devised a cheap and effective way of bombing the USA by harnessing their knowledge - a brilliant idea.	اليابانيون إبتكرَوا الرخيص والطريق الفعّال مِنْ قصف الولايات المتحدة الأمريكية بتَسخير معرفتِهم - فكرة رائعة.	اليابانيون قد وضعوا طريقة رخيصة وفعالة لقصف الولايات المتحدة عن طريق استغلال معرفتهم - فكرة رائعة.
Launched from three sites in Japan, an ingenious system of weights, altimeters and timers carried the balloons up to 50,000 feet until they entered what we now call the jet stream.	إنطلقَ مِنْ ثلاثة مواقعِ في اليابان , نظام مبدع مِنْ الأوزانِ , مقاييس إرتفاع وموقّتات حَملَ المناطيدَ بحدود 50,000 قدمِ	إنطلقَ مِنْ ثلاثة مواقعِ في اليابان , نظام مبدع مِنْ الأوزانِ , مقاييس إرتفاع وموقّتات حَملَ المناطيدَ بحدود 50,000 قدمِ
Caught in the flow, they were whisked across the Pacific and timed to drop onto the USA and Canada.	مَسكَ في التدفقِ، هم خُفِقوا عبر المحيط الهادي وموقوت لسُقُوط في الولايات المتحدة الأمريكية وكندا.	أُمسكوا بالتيار وجرفوا عبر المحيط الهادئ، حيث تم توقيتهم للهبوط على الولايات المتحدة الأمريكية وكندا.
Down they'd come and - whammol - they'd be in the trees or wherever, with the damn bombs hanging on them.	أسفل هم يَجيئونَ و - وامو - هم سَيَكُونونَ في الأشجارِ أَو حيثما , بالقنابلِ الملعونةِ تَعتمدُ عليهم.	أسفل هم يَجيئونَ و - وامو - هم سَيَكُونونَ في الأشجارِ أَو حيثما , بالقنابلِ الملعونةِ تَعتمدُ عليهم.
The Japanese discovery of the jet stream meant America was defenceless against this ingenious airborne attack.	الإكتشاف الياباني الجدولِ النفّاثِ عَنى أمريكا كَانتْ عزلاءَ ضدّ هذا الهجومِ المحمول جواً المبدعِ.	الإكتشاف الياباني الجدولِ النفّاثِ عَنى أمريكا كَانتْ عزلاءَ ضدّ هذا الهجومِ المحمول جواً المبدعِ.
There was nothing we could do.	كان هناك لا شيءُ يُمْكِنُ أَنْ نَفعله.	كان هناك لا شيءُ يُمْكِنُ أَنْ نَفعله.
It was quite a design.	هو كَانَ تماماً تصميم.	كانت تصميمًا رائعًا جدًا.
Pretty smart.	ذكي جداً.	ذكي جدا
The Japs were sharp.	اليابانيون كَانوا حادّون.	اليابانيون كَانوا حادّون.
Despite the huge distance, over 1,000 balloon bombs reached North America, but in the end only six people were ever killed.	على الرغم مِنْ المسافةِ الضخمةِ، أكثر من 1,000 وَصلتْ قنابلَ المنطادِ أمريكا الشمالية , لكن في النهاية فقط ستّة أشخاصِ قُتِلوا أبداً.	على الرغم من المسافة الهائلة، وصل أكثر من 1000 قنبلة بالونية إلى أمريكا الشمالية، ولكن في النهاية تم قتل ستة أشخاص فقط.
Today, the jet streams are used for much more benign reasons - if you can ever find one.	اليوم، الجداول النفّاثة مستعملة للأسبابِ الحميدةِ الأكثر بكثيرِ - إذا أنت يُمْكِنُ أَنْ تَجدَ واحد أبداً.	اليوم، تُستَخدَمُ جداولُ النفّاثِ لأسباب أكثر سلامة - إن وجدتَ أحدًا على الإطلاق.
For world record-holding balloonists Brian Jones and Bertrand Picard, finding the jet stream became a matter of life and death.	لراكبي مناطيد الإحتِجاز القياسيِ العالميينِ براين جونز وبيرتراند بيكارد , إيجاد الجدولَ النفّاثَ أصبحَ مسألة حياةِ وموتِ.	بالنسبة لحاملي الرقم القياسي العالمي في ركوب البالون برايان جونز وبرتران بيكار، كان العثور على تيار الجت مسألة حياة أو موت.
Starting in Switzerland, the plan was to be the first balloon to circumnavigate the earth.	بَدْء في سويسرا , الخطة كَانتْ سَتصْبَحُ المنطادَ الأولَ للإبْحار حول الأرضِ.	بَدْء في سويسرا , الخطة كَانتْ سَتصْبَحُ المنطادَ الأولَ للإبْحار حول الأرضِ.
They hoped to do it by flying within the jet streams.	تَمنّوا أَنْ يَعملونَه بالطَيَرَاْن ضمن الجداولِ النفّاثةِ.	أَمَلوا أَن يَتَمكّنوا مِن فَعلِ ذلك عَن طَريقِ الطَّيرانِ داخِلَ الجدولِ النفّاثِ.
In a balloon, we can't see the jet stream or know where it is, so we have to use meteorologists.	في منطاد، نحن لا نَستطيعُ رُؤية الجدول النفّاث أَو نعرف أين هو , لذا نحن يَجِبُ أَنْ نَستعملَ الأرصاديين.	في البالون، لا يُمكِنُنَا رؤية الجدولِ النفاثِ أو معرفة مكانِهِ، لذلك يتوجّبُ علينا الاعتماد على الأرصاديين.
We had two meteorologists working full time doing something like 10,000 calculations every day just to try and track the jet stream.	كَانَ عِنْدَنا أرصاديان يُشغّلُان وقتاً كاملاً عَمَل شيءِ مثل الحساباتِ الـ10,000 كُلّ يوم فقط لمُحَاوَلَة وتَعْقيب الجدولِ النفّاثِ.	كان لدينا اثنين من الأرصاديين يعملون بدوام كامل يقومون بحوالي 10,000 حساب يوميًا فقط لمحاولة تتبع الجدول النفاث.
There are actually five jet streams at between six and nine miles up.	هناك في الحقيقة خمسة جداولِ نفّاثةِ في بين ستّة و تسعة أميالِ فوق.	هناك في الحقيقة خمسة جداولِ نفّاثةِ في بين ستّة و تسعة أميالِ فوق.
They mark the boundaries between the wind cells.	يُؤشّرونَ الحدودَ بين خلايا الريحَ.	يتم وضع علامات على الحدود بين خلايا الهواء.
Low pressure air rises from the equator and meets high pressure air from the poles.	هواء ضغطِ مستوى واطئِ يَرتفعُ مِنْ خطِ الإستواء ويُقابلُ هواءَ ضغطِ مستوى عالي مِنْ الأقطابِ.	هواء ضغطِ مستوى واطئِ يَرتفعُ مِنْ خطِ الإستواء ويُقابلُ هواءَ ضغطِ مستوى عالي مِنْ الأقطابِ.
Where they converge, a spinning unpredictable tube of air is created.	حيث يَتلاقونَ , يُسرّعُ إنبوب متقلّب مِنْ الهواءِ مَخْلُوقُ.	حيث يَتلاقونَ , يُسرّعُ إنبوب متقلّب مِنْ الهواءِ مَخْلُوقُ.
It's the free ride that the jet stream provides that made Jones and Picard so desperate to find the right one.	هو الجولةُ المجّانيةُ الذي ُيزوّد الجدول النفّاث الذي جَعلَ جونز وبيكارد مستميت جداً لإيجاد الواحد الصحيحِ .	إنها الرحلة المجانية التي يوفرها تيار الجت ستريم الذي جعل جونز وبيكارد يائسين للعثور على الصحيح.
It was just incredible watching the speed build up.	هو كَانَ فقط مندهش يُراقبُ السرعةَ تتُعزّزُ.	كانت مجرد لحظة لا تصدق مشاهدة سرعة البناء تتزايد.
"I remember thinking, ""I have no idea who's flying this balloon,"	"أَتذكّرُ التَفْكير، ""أنا لَيْسَ لِي أي فكرةُ عن الذي يطَيَرَ هذا المنطادِ ,"	"أتذكر أنني كنت أفكر: ""ليس لدي أي فكرة من هو الذي يقوم بقيادة هذا البالون،"""
"""but please carry on, you're doing a grand job. "" It was that feeling."	"""لكن رجاءً واصلْه، أنت تَعْملُ شغل كبير. ""هو كَانَ ذلك الشعور."	"""ولكن من فضلك استمر، أنت تقوم بعمل رائع."" كان هذا الشعور."
That's what the jet stream did for us.	ذلك هو الجدولُ النفّاثُ عَمِلَ لنا.	ذلك هو الجدولُ النفّاثُ عَمِلَ لنا.
We'd gone around the world, crossed the Pacific, with just the Atlantic to go.	نحن نَطُوفُ حول العالم، عَبرَ المحيط الهادي، مَع فقط الأطلسي للذِهاب.	لقد قطعنا العالم بأكمله، عبرنا المحيط الهادئ، ولم يتبقى سوى المحيط الأطلسي.
And this is where it all began to go wrong.	وهذا حيث كُلّه بَدأَ للفَشَل.	وهنا حيث بدأت الأمور تسوء.
After 14 days, they'd travelled nearly three-quarters of the way around the world before the jet stream suddenly abandoned them.	بعد 14 يومِ، هم مُسَافَرون تقريباً ثلاثة أرباع الطريقِ حول العالمِ قبل الجدولِ النفّاثِ تَركَهم فجأة.	بعد 14 يومًا، سافروا تقريبًا ثلاثة أرباع الطريق حول العالم قبل أن يتخلى عنهم الجدول النفاث فجأة.
It suddenly disappeared.	إختفى فجأة.	فجأة اختفى.
It's like the fingers on a hand.	هو مثل الأصابعِ على يَدّ.	إنها مثل أصابع اليد.
It fragments.	يُمزّقُ.	يُمزّقُ.
We had to drop down really low and get out of this and simply wait for the next jet stream to form.	نحن كان لا بُدَّ أنْ نَنْزلَ مستوى واطئَ جداً ونَخْرجُ من هذا ويَنتظرُ القادمون ببساطة جدول نفّاث للتَشكيل.	نحن كان لا بُدَّ أنْ نَنْزلَ مستوى واطئَ جداً ونَخْرجُ من هذا ويَنتظرُ القادمون ببساطة جدول نفّاث للتَشكيل.
All the pundits thought we'd never cross the Atlantic, and so did we.	كُلّ المثقّفون إعتقدوا بأنّنا لَنْ نعبر الأطلسي، وكذلك نحن.	كُلّ المثقّفون إعتقدوا بأنّنا لَنْ نعبر الأطلسي، وكذلك نحن.
Faced with the threat of ditching in freezing, hostile seas, five days from the nearest help, the outlook appeared bleak.	واجهَ بتهديدِ تَخَنْدُق في تجميد، البحار العدائية , خمسة أيامِ مِنْ المساعدةِ الأقربِ , وجهة النظر بَدتْ كئيبةً.	واجهَ بتهديدِ تَخَنْدُق في تجميد، البحار العدائية , خمسة أيامِ مِنْ المساعدةِ الأقربِ , وجهة النظر بَدتْ كئيبةً.
It's horribly slow - only 21 knots at the moment.	هو بطيئُ جداً - فقط 21 عقدة في الوقت الحاضر.	هو بطيئُ جداً - فقط 21 عقدة في الوقت الحاضر.
We're right out in the middle of nowhere and not going very fast.	نحن صحيحون خارج في المنتصفِ ليس في أي مكان ولا يَذْهب سريع جداً.	نحن صحيحون خارج في المنتصفِ ليس في أي مكان ولا يَذْهب سريع جداً.
Five agonising days passed.	خمسة أيامِ مُؤلمةِ عَبرتْ.	خمسة أيامِ مُؤلمةِ عَبرتْ.
This was no longer a race for a world record.	هذا لَمْ يَعُدْ سباق لرقم عالمي.	لم يعد هذا سباقًا لكسر الرقم القياسي العالمي.
It was a desperate bid to stay alive.	هو كَانَ محاولة يائسة للبَقاء على قيد الحياة.	هو كَانَ محاولة يائسة للبَقاء على قيد الحياة.
And then, the jet stream reappeared.	وبعد ذلك، ظَهرَ الجدولُ النفّاث ثانية.	وبعد ذلك، ظَهرَ الجدولُ النفّاث ثانية.
But to get back into it meant climbing higher and using precious fuel.	لكن للعَودة إلى عَنى أعلى متسلّق وإستعمال وقودِ ثمينِ.	لكن للعودة إلى الأمام كان يعني الصعود إلى مستوى أعلى واستخدام الوقود الثمين.
The balloon was getting lighter - we'd thrown out stuff to make us lighter - we were able to push and push to get as high as we possibly could.	المنطاد كَانَ يَحْصلُ على القداحةِ - نحن نَرْمي مادةَ لجَعْلنا قداحةِ - نحن كُنّا قادرون على دَفْع ودَفْع للحُصُول على ارتفاع نحن من المحتمل نعمله.	البالون كان يصبح أخف - لقد ألقينا بعض الأشياء لتجعلنا أخف وزنًا - تمكنا من دفع ودفع للوصول إلى أعلى مكان يمكننا الوصول إليه.
When we got to that altitude in the core of the jet stream,	عندما وَصلنَا إلى ذلك الإرتفاعِ في صميمِ الجدولِ النفّاثِ ,	عندما وصلنا إلى تلك الارتفاعات في صميم الجدول النفاث،
"""suddenly we weren't doing"" 7""0 miles"" an hour, it was 120, 130 and building."	"""فجأة نحن مَا كُنّا نَعْملُ ""7"" 0 أميالِ "" في السّاعة، هو كَانَ 120, 130 وبناية."	فجأة لم نكن نسير بسرعة 70 ميل في الساعة، بل كانت 120، 130 وتزداد.
And we shot across the Atlantic in the core of this jet stream wind.	ونحن ضَربنَا عبر الأطلسي في صميمِ هذه الريحِ للجدولِ النفّاثةِ.	ونحن عبرنا الأطلسي في صميم هذه الرياحِ الجدولِ النفّاثِ.
"We just looked at each other and thought, ""This is just fantasticl"""	"نحن فقط نَظرنَا إلى بعضنا البعض وإعتقدنَا، ""أن هذا فقط رائع """	"نحن فقط التقينا وفكرنا، ""هذا مذهل بالفعل"""
There was no question of us not making the finishing line.	لم يكن هناك سؤالَ منّا لم نعمل خَطّ الإنْهاء.	لم يكن هناك سؤالَ منّا لم نعمل خَطّ الإنْهاء.
And we didl	ونحن عَمِلَناه	ونحن عَمِلَناه
We've done itl	عَملنَاه	لقد قمنا به
From take-off to touchdown in North Africa, around the world in just 21 days.	مِنْ الإقلاعِ إلى الهبوطِ في شمال أفريقيا , حول العالمِ في فقط 21 يوم.	مِنْ الإقلاعِ إلى الهبوطِ في شمال أفريقيا , حول العالمِ في فقط 21 يوم.
I'm now ready for my own record-breaking attempt - the speed of the jet stream.	أَنا الآن جاهز لمحاولة قياسية - سرعة الجدولِ النفّاثِ.	أنا الآن جاهز لمحاولتي الفريدة من نوعها لكسر رقم قياسي - سرعة التيار النفاث.
The tunnel can do it.	النفق يُمْكِنُ أَنْ يَعمَلُها .	يمكن للنفق أن يفعل ذلك.
The question is, can I?	السؤال، أليس كذلك؟	السؤال هو، هل يمكنني؟
No one has withstood much more than 100 miles per hour in here.	لا أحد قاومَ أكثر بكثيرَ مِنْ 100 ميلِ بالسّاعة هنا.	لم يصمد أحد أكثر من 100 ميل في الساعة هنا.
Not yet, anyway.	ليس بعد، على أية حال.	ليس بعد، على أية حال.
Off!	اطفئه!	اطفئه!
Enough!	بما فيه الكفاية!	كفى!
Enough!	بما فيه الكفاية!	كفى!
Nowhere near the speed of a jet stream.	بعيداً جداً عن سرعة جدول نفّاث.	بعيدٌ جدًا عن سرعة الجدول النفاث.
But the guys tell me I'm the first to withstand even this.	لكن الرجالَ يُخبرونَني أَنا الأولُ لمُقَاوَمَة هذا المستوى .	لكن الرجالَ يُخبرونَني أَنا الأولُ لمُقَاوَمَة هذا المستوى .
I wouldn't recommend it, though!	أنا لا أَوصيه، مع ذلك!	لا أنصح به ، على الرغم من ذلك!
I feel as though I've been massaged by 100 sumo wrestlers!	أَشْعرُ كما لو أنَّ أنا دُلّكتُ مِن قِبل 100 مصارعي سومو!	أشعر وكأنني تم تدليكي بواسطة 100 مصارع سومو!
Oh, dear!	أوه، عزيز!	يا له من أمر!
An avalanche of wind just piercing your whole body.	إنهيار جليدي مِنْ ريحِ فقط يَثْقبُ جسمَكَ الكاملَ.	انهيار رياح يخترق جسدك بأكمله.
The movement of your hands sends your body all the way over here.	حركة أيديكِ تُرسلُ جسمَكِ طول الطّريق هنا.	حركة أيديكِ تُرسلُ جسمَكِ طول الطّريق هنا.
In the real world, it's nothing like this.	في العالم الحقيقي، لا شيءُ مثل هذا.	في العالم الحقيقي، ليس كما هو موضح هنا.
No safety lines, no controlled environment.	لا أمانَ يُخطّطُ، لا سيطرة عليها البيئة.	لا توجد خطوط أمان، لا بيئة مسيطر عليها.
It's a nightmare.	هي كابوس.	إنه كابوس.
This was just the equivalent of an average hurricane or small tornado.	هذا كَانَ فقط المكافئ إعصارِ متوسطِ أَو إعصارِ صغيرِ.	هذا كَانَ فقط المكافئ إعصارِ متوسطِ أَو إعصارِ صغيرِ.
Without protection, I can't imagine what it'd be like. Incomprehensible.	بدون حمايةِ، أنا لا أَستطيعُ تَخَيُّل ما هو سَيَكُونُ مثل.	بدون حمايةِ، أنا لا أَستطيعُ تَخَيُّل ما هو سَيَكُونُ مثل.
136 is tough, but Chad Urwin has been within six inches of a 300-miles-per-hour wind and survived... when this tornado went over his head.	مائة و ستة وثلاثون قاسيُ , لكن تشاد أورون كَان ضمن ستّ بوصاتِ للثلاث مائة ميل في الساعة رياح وبَقى...	136 صعبة، لكن تشاد أوروين كان على بعد ستة بوصات فقط من رياح تصل سرعتها إلى 300 ميل في الساعة ونجا ... عندما مر هذا الإعصار فوق رأسه.
That's double the speed I've just tried.	تلك مضاعفةُ السرعةُ التي أنا تَواً حاولتُ.	تلك مضاعفةُ السرعةُ التي أنا تَواً حاولتُ.
Nature's winds are always savagely unpredictable.	رياح الطبيعةِ دائماً متقلّبة بشكل وحشي.	رياح الطبيعةِ دائماً متقلّبة بشكل وحشي.
We were watching the news and heard about the tornado coming out of the south-west.	نحن كُنّا نُراقبُ الأخبارَ وسَمعنَا عنهم الإعصار الذي يَخْرجُ مِنْ المنطقة الجنوبية الغربيةِ.	كُنّا نشاهد الأخبار وسمعنا عن الإعصار القادم من الجنوب الغربي.
It came from that direction, about a mile and a half wide.	جاءَ مِنْ ذلك الإتّجاهِ , حول الميل و النِصْف العريضِ.	جاءت من تلك الاتجاه، بعرض حوالي ميل ونصف.
"Y""ou could see the tornado"" sitting on the top of the hill."	"يُمْكِنُ أَنْ ترى الإعصارَ "" يَجْلسُ على قمةِ التَلِّ."	"يُمْكِنُ أَنْ ترى الإعصارَ "" يَجْلسُ على قمةِ التَلِّ."
It sat there for a minute then moved right.	جَلسَ هناك لمدّة دقيقة ثمّ حرّكَ حقّاً.	جلست هناك لمدة دقيقة ثم انتقلت إلى اليمين.
It picked up a 26,000-square-foot church and spun it round completely.	إرتفعَ 26,000 قدم مربّع وسرّعَه مستديرة بالكامل.	اقتنصت العاصفة كنيسة بمساحة 26,000 قدم مربع وأدارتها بالكامل.
It turned it upside down and slammed it to the ground like Tinker toys.	هو قَلبَه رأساً على عقب وإنتقدَه على الأرض مثل لُعَبِ تينكر.	قام بقلبها رأسًا على عقب وضربها بقوة على الأرض كألعاب تنكر تويز.
We came over here.	جِئنَا هنا.	جئنا إلى هنا.
We were pelted by gravel coming at about 100 miles an hour.	نحن رُجِمنَا بالحصى أتى في حوالي 100 ميلَ في السّاعة.	نحن رُجِمنَا بالحصى أتى في حوالي 100 ميلَ في السّاعة.
My son started wavering like he was gonna be blown into the pond.	إبني بَدأَ بتردّد مثل ما كَانَ سيَنْفخُ إلى البركةِ.	ابني بدأ يتردد كما لو كان سيُهبَط في البركة.
We ran this way.	أدرنَا هذا الطريقِ.	جرينا بهذا الاتجاه.
We got in here.	دَخلنَا هنا.	لقد دخلنا هنا.
All of us got in here.	كلّنا دَخلنَا هنا.	جميعنا دخلنا هنا.
We walked on our knees until we got to the centre.	مَشينَا على رُكَبِنا حتى وَصلنَا إلى المركزِ.	مشينا على ركبنا حتى وصلنا إلى الوسط.
Then we rode the tornado out while we sat in here.	ثمّ رَكبنَا الإعصارَ خارج بينما جَلسنَا هنا.	ثمّ رَكبنَا الإعصارَ خارج بينما جَلسنَا هنا.
So how does a wind spin itself into such a concentrated killer?	لذا كَيفَ الريح يَلتفُّ يُسرّعُ نفسه إلى مثل هذا القاتلِ المُرَكَّزِ؟	إذاً، كيف يقوم الريحُ بتحويل نفسها إلى قاتل مُركز بهذا الشكل؟
The exact mechanism is still unclear.	الآلية المضبوطة ما زالَتْ غير واضحةُ.	الآلية الدقيقة لا تزال غير واضحة.
But it seems our friend the jet stream plays a part.	لَكنَّه يَبْدو صديقَنا الجدولِ النفّاثِ يَلْعبُ دور.	ولكن يبدو أن صديقنا الجدول النفّاث يلعب دورًا.
Tornadoes form in huge rotating thunderstorms known as super-cells.	تُشكّلُ الأعاصيرَ في العواصف الرعديةِ الدائرةِ الضخمةِ المعروفة بالخلايا الممتازةِ.	تُشكّلُ الأعاصيرَ في العواصف الرعديةِ الدائرةِ الضخمةِ المعروفة بالخلايا الممتازةِ.
These can rise as much as eight miles into the sky, and as they grow upwards they encounter the jet streams.	هذه يُمْكِنُ أَنْ يَرتفعَ بقدر ثمانية أميالِ إلى السماءِ , وكما يَنْمونَ إلى أعلى يُصادفونَ الجداولَ النفّاثةَ.	يمكن أن ترتفع هذه المسافات إلى ثمانية أميال في السماء، وبما أنها تتصاعد للأعلى، فإنها تواجه الجداول النفاثة.
These fast high-level rivers of wind suck air out of the top of the storm, causing more air to be sucked in at the bottom.	هذه الأنهارِ العالية المستوى السريعةِ للريحِ إمتصاص تُجفّفُ مِنْ قمةِ العاصفةِ , يُسبّبُ هواءَ أكثرَ لكي يُمتَصَّ في القاعِ.	تلك الأنهار السريعة عالية المستوى من الرياح تجذب الهواء من أعلى العاصفة، مما يتسبب في سحب المزيد من الهواء من أسفلها.
This creates turbulence within the storm that causes the air within it to roll over itself.	هذا يَخْلقُ صخباً ضمن العاصفةِ ذلك يُسبّبُ الهواءَ ضمنه لإعادة استثمار نفسه.	يتسبب ذلك في حدوث اضطراب داخل العاصفة يجعل الهواء داخلها يتدحرج على نفسه.
The result is a horizontal spinning vortex of air.	النتيجة أفقية يُسرّعُ دوّامةَ الهواءِ.	النتيجة أفقية يُسرّعُ دوّامةَ الهواءِ.
Strong updraughts push the vortex into a tube and can force it downwards.	قوة فوق التياراتِ تَدْفعُ الدوّامةَ إلى إنبوب ويُمْكِنُ أَنْ يُجبرَه فَنازِلاً.	التيارات الصاعدة القوية تدفع الدوامة إلى داخل أنبوب وقد تُجبرها على التحرك نحو الأسفل.
When it touches the earth, a twister is born.	عندما يَمْسُّ الأرضَ , الإعصار ولدُ.	عندما يلامس الأرض، يولد إعصار.
The consequences can be lethal.	النتائج يُمكنُ أَنْ تَكُونَ قاتلةَ.	النتائج يُمكنُ أَنْ تَكُونَ قاتلةَ.
I feel sorry for the others that lost loved ones.	أَشْعرُ بالأسى على الآخرين الذين فَقدوا الأحباءَ.	أشعر بالأسف للآخرين الذين فقدوا أحباءهم.
As I got out of the tin horn I saw a boy and his mother trying to get into the bathroom.	بينما خَرجتُ من القرنِ من الصّفيحِ رَأيتُ ولد وأمّه يحاول دُخُول الحمّامِ.	بينما خَرجتُ من القرنِ من الصّفيحِ رَأيتُ ولد وأمّه يحاول دُخُول الحمّامِ.
"I said, ""Where's your mother?"""	"قُلتُ، ""أين أمّكَ؟ """	"قلت: ""أين والدتك؟"""
"He said, ""The tornado just sucked her out of my hand. """	"قالَ، ""الإعصار فقط إمتصَّها خارج يَدِّي. """	"قالَ، ""الإعصار فقط إمتصَّها خارج يَدِّي. """
She didn't make it.	هي لَمْ تفعلها.	لم تنجح.
She died that night.	ماتتْ في تلك الليلِ.	ماتتْ في تلك الليلِ.
After the storm, evidence emerged that vehicles and even people had been sucked up into the tornado and carried vast distances.	بعد العاصفةِ، ظهر دليل تلك السيارات و حتى الناسِ كَانَ قَدْ مُصَّ إلى الإعصارِ وحَملَ لمسافاتَ واسعةَ.	بعد العاصفةِ، ظهر دليل تلك السيارات و حتى الناسِ كَانَ قَدْ مُصَّ إلى الإعصارِ وحَملَ لمسافاتَ واسعةَ.
Chad was one of the few survivors to witness the results.	تشاد كَان أحد الباقون على قيد الحياةِ لشَهادَة النَتائِجِ.	تشاد كَان أحد الباقون على قيد الحياةِ لشَهادَة النَتائِجِ.
A van and a pick-up came here from Verdon, Oklahoma, 55 miles away.	فان و شاحنة صغيرة جاءتْ هنا مِنْ فيردون، أوكلاهوما، على بعد 55 ميلاً.	وصلت سيارة فان وشاحنة صغيرة من مدينة فردون بولاية أوكلاهوما، على بُعد 55 ميل.
The guy who was supposedly dropped in this pond came from 30 miles away.	الرجل الذي أُسقطَ بإفتراض في هذه البركةِ جاءتْ مِنْ على بعد 30 ميلاً.	الشخص الذي يفترض أنه سقط في هذا البركة جاء من مسافة 30 ميل.
The tornado that ripped through Chad's neighbourhood is rare, known as an F5, the most powerful on the Fujita scale.	الإعصار الذي مزّقَ خلال حيِّ تشاد نادرُ , المعروف بإف 5, الأقوى على مِقياسِ فوجيتا.	الإعصار الذي اجتاح حي تشاد نادر، ويعرف باسم F5، وهو الأقوى على مقياس فوجيتا.
It contained the fastest winds ever recorded - a staggering 318 miles an hour.	إحتوى الرياحَ الأسرعَ مسجّل أعلى - ثلاث مائة ميل مدهش في السّاعة.	إحتوى الرياحَ الأسرعَ مسجّل أعلى - ثلاث مائة ميل مدهش في السّاعة.
At these speeds, wind can rip the tarmac from a road.	في هذه السرعةِ , الريح يُمْكِنُ أَنْ تُمزّقَ المَدْرَجَ مِنْ طريق.	عند هذه السرعات، يمكن للرياح أن تمزق الأسفلت من الطريق.
The force on the ground is the same as the shockwave from a nuclear bomb.	القوة على الأرضِ نفس الموجة الإهتزازية مِنْ قنبلة نووية.	القوة على الأرض تكون مثل الصدمة الناجمة عن قنبلة نووية.
"My wife said, ""How's the house?"" I said, ""What house?"""	"زوجتي قالتْ، ""هكذا البيت؟ "" قُلتُ، ""أَيّ بيت؟ """	"قالت زوجتي: ""كيف حال المنزل؟"" رديت: ""أي منزل؟"""
"She said, ""Don't joke."" I said, ""I'm not."""	"قالتْ، ""لا تنكّتُ. "" قُلتُ، ""لَستُ أنكت. """	"قالتْ، ""لا تنكّتُ. "" قُلتُ، ""لَستُ أنكت. """
I said, 'Johnson's house isn't here, our house isn't here.	قُلتُ، ' بيت جونسن لَيسَ هنا , بيتنا لَيسَ هنا.	قُلتُ، ' بيت جونسن لَيسَ هنا , بيتنا لَيسَ هنا.
"""Nothing, there isn't nothing out here. """	"""لا شيء، ليس هناك لا شيءَ خارج هنا. """	لا شيء، لا يوجد شيء هنا.
It breaks your heart to find a piece of something that belonged to you.	يَكْسرُ قلبَكَ لإيجاد قطعة الشّيء الذي إعتد عليه.	يكسر قلبك أن تجد قطعة من شيء كان يعود لك.
