Source Sentence	Target Sentence	Predicted Sentence
All the pundits thought we'd never cross the Atlantic, and so did we.	كُلّ المثقّفون إعتقدوا بأنّنا لَنْ نعبر الأطلسي، وكذلك نحن.	كُلّ المثقّفون إعتقدوا بأنّنا لَنْ نعبر الأطلسي، وكذلك نحن.
Faced with the threat of ditching in freezing, hostile seas, five days from the nearest help, the outlook appeared bleak.	واجهَ بتهديدِ تَخَنْدُق في تجميد، البحار العدائية , خمسة أيامِ مِنْ المساعدةِ الأقربِ , وجهة النظر بَدتْ كئيبةً.	مواجهة تهديد الغرق في بحار متجمدة وعدائية ، خمسة أيام من أقرب مساعدة ، بدا المستقبل مظلماً.
It's horribly slow - only 21 knots at the moment.	هو بطيئُ جداً - فقط 21 عقدة في الوقت الحاضر.	إنها بطيئة جداً - فقط 21 عقدة في الوقت الحالي.
We're right out in the middle of nowhere and not going very fast.	نحن صحيحون خارج في المنتصفِ ليس في أي مكان ولا يَذْهب سريع جداً.	نحن صحيحون خارج في المنتصفِ ليس في أي مكان ولا يَذْهب سريع جداً.
Five agonising days passed.	خمسة أيامِ مُؤلمةِ عَبرتْ.	خمسة أيامِ مُؤلمةِ عَبرتْ.
This was no longer a race for a world record.	هذا لَمْ يَعُدْ سباق لرقم عالمي.	هذا لَمْ يَعُدْ سباق لرقم عالمي.
It was a desperate bid to stay alive.	هو كَانَ محاولة يائسة للبَقاء على قيد الحياة.	كانت محاولة يائسة للبقاء على قيد الحياة.
And then, the jet stream reappeared.	وبعد ذلك، ظَهرَ الجدولُ النفّاث ثانية.	وبعد ذلك، ظَهرَ الجدولُ النفّاث ثانية.
But to get back into it meant climbing higher and using precious fuel.	لكن للعَودة إلى عَنى أعلى متسلّق وإستعمال وقودِ ثمينِ.	لكن للعودة إلى الأمام كان يعني الصعود إلى مستوى أعلى واستخدام الوقود الثمين.
The balloon was getting lighter - we'd thrown out stuff to make us lighter - we were able to push and push to get as high as we possibly could.	المنطاد كَانَ يَحْصلُ على القداحةِ - نحن نَرْمي مادةَ لجَعْلنا قداحةِ - نحن كُنّا قادرون على دَفْع ودَفْع للحُصُول على ارتفاع نحن من المحتمل نعمله.	المنطاد كَانَ يَحْصلُ على القداحةِ - نحن نَرْمي مادةَ لجَعْلنا قداحةِ - نحن كُنّا قادرون على دَفْع ودَفْع للحُصُول على ارتفاع نحن من المحتمل نعمله.
When we got to that altitude in the core of the jet stream,	عندما وَصلنَا إلى ذلك الإرتفاعِ في صميمِ الجدولِ النفّاثِ ,	عندما وصلنا إلى تلك الارتفاعات في صميم الجدول النفاث،
"""suddenly we weren't doing"" 7""0 miles"" an hour, it was 120, 130 and building."	"""فجأة نحن مَا كُنّا نَعْملُ ""7"" 0 أميالِ "" في السّاعة، هو كَانَ 120, 130 وبناية."	فجأة لم نكن نسير بسرعة 70 ميل في الساعة، بل كانت 120، 130 وتزداد.
And we shot across the Atlantic in the core of this jet stream wind.	ونحن ضَربنَا عبر الأطلسي في صميمِ هذه الريحِ للجدولِ النفّاثةِ.	ونحن عبرنا الأطلسي في صميم هذه الرياحِ الجدولِ النفّاثِ.
"We just looked at each other and thought, ""This is just fantasticl"""	"نحن فقط نَظرنَا إلى بعضنا البعض وإعتقدنَا، ""أن هذا فقط رائع """	"نحن فقط التقينا وفكرنا، ""هذا مذهل بالفعل"""
There was no question of us not making the finishing line.	لم يكن هناك سؤالَ منّا لم نعمل خَطّ الإنْهاء.	لم يكن هناك سؤالَ منّا لم نعمل خَطّ الإنْهاء.
And we didl	ونحن عَمِلَناه	وقد فعلنا
We've done itl	عَملنَاه	لقد قمنا به
From take-off to touchdown in North Africa, around the world in just 21 days.	مِنْ الإقلاعِ إلى الهبوطِ في شمال أفريقيا , حول العالمِ في فقط 21 يوم.	من الإقلاع إلى الهبوط في شمال أفريقيا، حول العالم في مدة لا تتجاوز 21 يومًا.
I'm now ready for my own record-breaking attempt - the speed of the jet stream.	أَنا الآن جاهز لمحاولة قياسية - سرعة الجدولِ النفّاثِ.	أَنا الآن جاهز لمحاولة قياسية - سرعة الجدولِ النفّاثِ.
The tunnel can do it.	النفق يُمْكِنُ أَنْ يَعمَلُها .	يمكن للنفق أن يفعل ذلك.
The question is, can I?	السؤال، أليس كذلك؟	السؤال، أليس كذلك؟
No one has withstood much more than 100 miles per hour in here.	لا أحد قاومَ أكثر بكثيرَ مِنْ 100 ميلِ بالسّاعة هنا.	لم يصمد أحد أكثر من 100 ميل في الساعة هنا.
Not yet, anyway.	ليس بعد، على أية حال.	ليس بعد، على أية حال.
Off!	اطفئه!	اطفئه!
Enough!	بما فيه الكفاية!	كفى!
Enough!	بما فيه الكفاية!	بما فيه الكفاية!
Nowhere near the speed of a jet stream.	بعيداً جداً عن سرعة جدول نفّاث.	بعيداً جداً عن سرعة جدول نفّاث.
But the guys tell me I'm the first to withstand even this.	لكن الرجالَ يُخبرونَني أَنا الأولُ لمُقَاوَمَة هذا المستوى .	لكن الرجالَ يُخبرونَني أَنا الأولُ لمُقَاوَمَة هذا المستوى .
I wouldn't recommend it, though!	أنا لا أَوصيه، مع ذلك!	أنا لا أَوصيه، مع ذلك!
I feel as though I've been massaged by 100 sumo wrestlers!	أَشْعرُ كما لو أنَّ أنا دُلّكتُ مِن قِبل 100 مصارعي سومو!	أَشْعرُ كما لو أنَّ أنا دُلّكتُ مِن قِبل 100 مصارعي سومو!
Oh, dear!	أوه، عزيز!	يا له من أمر!
An avalanche of wind just piercing your whole body.	إنهيار جليدي مِنْ ريحِ فقط يَثْقبُ جسمَكَ الكاملَ.	إنهيار جليدي مِنْ ريحِ فقط يَثْقبُ جسمَكَ الكاملَ.
The movement of your hands sends your body all the way over here.	حركة أيديكِ تُرسلُ جسمَكِ طول الطّريق هنا.	حركة أيديكِ تُرسلُ جسمَكِ طول الطّريق هنا.
In the real world, it's nothing like this.	في العالم الحقيقي، لا شيءُ مثل هذا.	في العالم الحقيقي، لا شيءُ مثل هذا.
No safety lines, no controlled environment.	لا أمانَ يُخطّطُ، لا سيطرة عليها البيئة.	لا أمانَ يُخطّطُ، لا سيطرة عليها البيئة.
It's a nightmare.	هي كابوس.	هي كابوس.
This was just the equivalent of an average hurricane or small tornado.	هذا كَانَ فقط المكافئ إعصارِ متوسطِ أَو إعصارِ صغيرِ.	هذا كَانَ فقط المكافئ إعصارِ متوسطِ أَو إعصارِ صغيرِ.
Without protection, I can't imagine what it'd be like. Incomprehensible.	بدون حمايةِ، أنا لا أَستطيعُ تَخَيُّل ما هو سَيَكُونُ مثل.	بدون حماية، لا أستطيع أن أتخيل كيف ستكون الأمور. غير مفهومة.
136 is tough, but Chad Urwin has been within six inches of a 300-miles-per-hour wind and survived... when this tornado went over his head.	مائة و ستة وثلاثون قاسيُ , لكن تشاد أورون كَان ضمن ستّ بوصاتِ للثلاث مائة ميل في الساعة رياح وبَقى...	136 صعبة، لكن تشاد أوروين كان على بعد ستة بوصات فقط من رياح تصل سرعتها إلى 300 ميل في الساعة ونجا ... عندما مر هذا الإعصار فوق رأسه.
That's double the speed I've just tried.	تلك مضاعفةُ السرعةُ التي أنا تَواً حاولتُ.	تلك مضاعفةُ السرعةُ التي أنا تَواً حاولتُ.
Nature's winds are always savagely unpredictable.	رياح الطبيعةِ دائماً متقلّبة بشكل وحشي.	رياح الطبيعةِ دائماً متقلّبة بشكل وحشي.
We were watching the news and heard about the tornado coming out of the south-west.	نحن كُنّا نُراقبُ الأخبارَ وسَمعنَا عنهم الإعصار الذي يَخْرجُ مِنْ المنطقة الجنوبية الغربيةِ.	كُنّا نشاهد الأخبار وسمعنا عن الإعصار القادم من الجنوب الغربي.
It came from that direction, about a mile and a half wide.	جاءَ مِنْ ذلك الإتّجاهِ , حول الميل و النِصْف العريضِ.	جاءت من تلك الاتجاه، بعرض حوالي ميل ونصف.
"Y""ou could see the tornado"" sitting on the top of the hill."	"يُمْكِنُ أَنْ ترى الإعصارَ "" يَجْلسُ على قمةِ التَلِّ."	"يُمْكِنُ أَنْ ترى الإعصارَ "" يَجْلسُ على قمةِ التَلِّ."
It sat there for a minute then moved right.	جَلسَ هناك لمدّة دقيقة ثمّ حرّكَ حقّاً.	جلست هناك لمدة دقيقة ثم انتقلت إلى اليمين.
It picked up a 26,000-square-foot church and spun it round completely.	إرتفعَ 26,000 قدم مربّع وسرّعَه مستديرة بالكامل.	اقتنصت العاصفة كنيسة بمساحة 26,000 قدم مربع وأدارتها بالكامل.
It turned it upside down and slammed it to the ground like Tinker toys.	هو قَلبَه رأساً على عقب وإنتقدَه على الأرض مثل لُعَبِ تينكر.	هو قَلبَه رأساً على عقب وإنتقدَه على الأرض مثل لُعَبِ تينكر.
We came over here.	جِئنَا هنا.	جئنا إلى هنا.
We were pelted by gravel coming at about 100 miles an hour.	نحن رُجِمنَا بالحصى أتى في حوالي 100 ميلَ في السّاعة.	تعرضنا لقذف الحصى بسرعة تصل إلى حوالي 100 ميل في الساعة.
My son started wavering like he was gonna be blown into the pond.	إبني بَدأَ بتردّد مثل ما كَانَ سيَنْفخُ إلى البركةِ.	ابني بدأ يتردد كما لو كان سيُهبَط في البركة.
We ran this way.	أدرنَا هذا الطريقِ.	جرينا بهذا الاتجاه.
We got in here.	دَخلنَا هنا.	لقد دخلنا هنا.
All of us got in here.	كلّنا دَخلنَا هنا.	كلّنا دَخلنَا هنا.
We walked on our knees until we got to the centre.	مَشينَا على رُكَبِنا حتى وَصلنَا إلى المركزِ.	مشينا على ركبنا حتى وصلنا إلى الوسط.
Then we rode the tornado out while we sat in here.	ثمّ رَكبنَا الإعصارَ خارج بينما جَلسنَا هنا.	ثم ركبنا الإعصار بينما جلسنا هنا.
So how does a wind spin itself into such a concentrated killer?	لذا كَيفَ الريح يَلتفُّ يُسرّعُ نفسه إلى مثل هذا القاتلِ المُرَكَّزِ؟	لذا كَيفَ الريح يَلتفُّ يُسرّعُ نفسه إلى مثل هذا القاتلِ المُرَكَّزِ؟
The exact mechanism is still unclear.	الآلية المضبوطة ما زالَتْ غير واضحةُ.	الآلية المضبوطة ما زالَتْ غير واضحةُ.
But it seems our friend the jet stream plays a part.	لَكنَّه يَبْدو صديقَنا الجدولِ النفّاثِ يَلْعبُ دور.	لَكنَّه يَبْدو صديقَنا الجدولِ النفّاثِ يَلْعبُ دور.
Tornadoes form in huge rotating thunderstorms known as super-cells.	تُشكّلُ الأعاصيرَ في العواصف الرعديةِ الدائرةِ الضخمةِ المعروفة بالخلايا الممتازةِ.	تتشكل الأعاصير في عواصف رعدية ضخمة تدور بشكل كبير تعرف بالسوبر سيلز.
These can rise as much as eight miles into the sky, and as they grow upwards they encounter the jet streams.	هذه يُمْكِنُ أَنْ يَرتفعَ بقدر ثمانية أميالِ إلى السماءِ , وكما يَنْمونَ إلى أعلى يُصادفونَ الجداولَ النفّاثةَ.	هذه يُمْكِنُ أَنْ يَرتفعَ بقدر ثمانية أميالِ إلى السماءِ , وكما يَنْمونَ إلى أعلى يُصادفونَ الجداولَ النفّاثةَ.
These fast high-level rivers of wind suck air out of the top of the storm, causing more air to be sucked in at the bottom.	هذه الأنهارِ العالية المستوى السريعةِ للريحِ إمتصاص تُجفّفُ مِنْ قمةِ العاصفةِ , يُسبّبُ هواءَ أكثرَ لكي يُمتَصَّ في القاعِ.	هذه الأنهارِ العالية المستوى السريعةِ للريحِ إمتصاص تُجفّفُ مِنْ قمةِ العاصفةِ , يُسبّبُ هواءَ أكثرَ لكي يُمتَصَّ في القاعِ.
This creates turbulence within the storm that causes the air within it to roll over itself.	هذا يَخْلقُ صخباً ضمن العاصفةِ ذلك يُسبّبُ الهواءَ ضمنه لإعادة استثمار نفسه.	يتسبب ذلك في حدوث اضطراب داخل العاصفة يجعل الهواء داخلها يتدحرج على نفسه.
The result is a horizontal spinning vortex of air.	النتيجة أفقية يُسرّعُ دوّامةَ الهواءِ.	النتيجة هي إعصار أفقي دوّار من الهواء.
Strong updraughts push the vortex into a tube and can force it downwards.	قوة فوق التياراتِ تَدْفعُ الدوّامةَ إلى إنبوب ويُمْكِنُ أَنْ يُجبرَه فَنازِلاً.	التيارات الصاعدة القوية تدفع الدوامة إلى داخل أنبوب وقد تُجبرها على التحرك نحو الأسفل.
When it touches the earth, a twister is born.	عندما يَمْسُّ الأرضَ , الإعصار ولدُ.	عندما يلامس الأرض، يولد إعصار.
The consequences can be lethal.	النتائج يُمكنُ أَنْ تَكُونَ قاتلةَ.	النتائج يُمكنُ أَنْ تَكُونَ قاتلةَ.
I feel sorry for the others that lost loved ones.	أَشْعرُ بالأسى على الآخرين الذين فَقدوا الأحباءَ.	أشعر بالأسف للآخرين الذين فقدوا أحباءهم.
As I got out of the tin horn I saw a boy and his mother trying to get into the bathroom.	بينما خَرجتُ من القرنِ من الصّفيحِ رَأيتُ ولد وأمّه يحاول دُخُول الحمّامِ.	بينما خَرجتُ من القرنِ من الصّفيحِ رَأيتُ ولد وأمّه يحاول دُخُول الحمّامِ.
"I said, ""Where's your mother?"""	"قُلتُ، ""أين أمّكَ؟ """	"قُلتُ، ""أين أمّكَ؟ """
"He said, ""The tornado just sucked her out of my hand. """	"قالَ، ""الإعصار فقط إمتصَّها خارج يَدِّي. """	"قالَ، ""الإعصار فقط إمتصَّها خارج يَدِّي. """
She didn't make it.	هي لَمْ تفعلها.	لم تنجح.
She died that night.	ماتتْ في تلك الليلِ.	توفيت تلك الليلة.
After the storm, evidence emerged that vehicles and even people had been sucked up into the tornado and carried vast distances.	بعد العاصفةِ، ظهر دليل تلك السيارات و حتى الناسِ كَانَ قَدْ مُصَّ إلى الإعصارِ وحَملَ لمسافاتَ واسعةَ.	بعد العاصفة، ظهرت أدلة تشير إلى أن المركبات حتى الأشخاص تمت مصاصتهم ونقلهم على مسافات بعيدة جداً بواسطة الإعصار.
Chad was one of the few survivors to witness the results.	تشاد كَان أحد الباقون على قيد الحياةِ لشَهادَة النَتائِجِ.	تشاد كَان أحد الباقون على قيد الحياةِ لشَهادَة النَتائِجِ.
A van and a pick-up came here from Verdon, Oklahoma, 55 miles away.	فان و شاحنة صغيرة جاءتْ هنا مِنْ فيردون، أوكلاهوما، على بعد 55 ميلاً.	فان و شاحنة صغيرة جاءتْ هنا مِنْ فيردون، أوكلاهوما، على بعد 55 ميلاً.
The guy who was supposedly dropped in this pond came from 30 miles away.	الرجل الذي أُسقطَ بإفتراض في هذه البركةِ جاءتْ مِنْ على بعد 30 ميلاً.	الشخص الذي يفترض أنه سقط في هذا البركة جاء من مسافة 30 ميل.
The tornado that ripped through Chad's neighbourhood is rare, known as an F5, the most powerful on the Fujita scale.	الإعصار الذي مزّقَ خلال حيِّ تشاد نادرُ , المعروف بإف 5, الأقوى على مِقياسِ فوجيتا.	الإعصار الذي اجتاح حي تشاد نادر، ويعرف باسم F5، وهو الأقوى على مقياس فوجيتا.
It contained the fastest winds ever recorded - a staggering 318 miles an hour.	إحتوى الرياحَ الأسرعَ مسجّل أعلى - ثلاث مائة ميل مدهش في السّاعة.	احتوى على أسرع الرياح التي تم تسجيلها على الإطلاق - بلغت 318 ميل في الساعة، وهي رقم مذهل.
At these speeds, wind can rip the tarmac from a road.	في هذه السرعةِ , الريح يُمْكِنُ أَنْ تُمزّقَ المَدْرَجَ مِنْ طريق.	عند هذه السرعات، يمكن للرياح أن تمزق الأسفلت من الطريق.
The force on the ground is the same as the shockwave from a nuclear bomb.	القوة على الأرضِ نفس الموجة الإهتزازية مِنْ قنبلة نووية.	القوة على الأرضِ نفس الموجة الإهتزازية مِنْ قنبلة نووية.
"My wife said, ""How's the house?"" I said, ""What house?"""	"زوجتي قالتْ، ""هكذا البيت؟ "" قُلتُ، ""أَيّ بيت؟ """	"زوجتي قالتْ، ""هكذا البيت؟ "" قُلتُ، ""أَيّ بيت؟ """
"She said, ""Don't joke."" I said, ""I'm not."""	"قالتْ، ""لا تنكّتُ. "" قُلتُ، ""لَستُ أنكت. """	"قالتْ، ""لا تنكّتُ. "" قُلتُ، ""لَستُ أنكت. """
I said, 'Johnson's house isn't here, our house isn't here.	قُلتُ، ' بيت جونسن لَيسَ هنا , بيتنا لَيسَ هنا.	"قلت: ""منزل جونسون ليس هنا، منزلنا ليس هنا."""
"""Nothing, there isn't nothing out here. """	"""لا شيء، ليس هناك لا شيءَ خارج هنا. """	"""لا شيء، ليس هناك لا شيءَ خارج هنا. """
It breaks your heart to find a piece of something that belonged to you.	يَكْسرُ قلبَكَ لإيجاد قطعة الشّيء الذي إعتد عليه.	يَكْسرُ قلبَكَ لإيجاد قطعة الشّيء الذي إعتد عليه.
I walk on the hill when it rains to look for things that belonged to me.	أَمْشي على التَلِّ عندما تمطرُ للبَحْث عن الأشياءِ التي تعود لي.	أتجول على التلة عندما يمطر لأبحث عن الأشياء التي كانت تخصني.
Every once in a while I get lucky and find something.	مَرَّاتٌ عَلَى فَتَرَاتٍ أُصبحُ محظوظاً وأَجِدُ شيءاً.	من وقت لآخر، أحظى بالحظ وأجد شيئًا.
The little town of Bridge Creek, south of Oklahoma City, was worst affected.	البلدة الصَغيرة مِنْ جدولِ الجسرِ، جنوب مدينة أوكلاهوما، كَانَت أسوأ تأثر.	تعرضت بلدة بريدج كريك الصغيرة، جنوب مدينة أوكلاهوما سيتي، لأكبر الآثار السلبية.
In just 15 minutes, the twister had devastated the community, and in the hours that followed, survivors struggled to the school gym, one of the few remaining buildings.	في فقط 15 دقيقة، الإعصار دمّرَ الجاليةَ , وفي الساعات التالية , كافحَ باقون على قيد الحياةُ من أجل جمناز يومِ المدرسةَ , أحد البناياتِ الباقيةِ .	في غضون 15 دقيقة فقط، دمرت العاصفة المدمرة المجتمع، وفي الساعات التي تلت ذلك، كان الناجون يكافحون للوصول إلى صالة المدرسة، واحدة من القليل من المباني التي تبقت.
What have we got here?	ماذا لدينا هنا؟	ماذا لدينا هنا؟
Their injuries were horrific.	إصاباتهم كَانتْ شنيعة.	إصاباتهم كَانتْ شنيعة.
The twister had thrown tons of metal, wood and glass into the air with the power of a machine gun.	رَمى الإعصارَ الأطنانَ مِنْ المعدنِ , الخشب والزجاج إلى الهواءِ بقوَّةِ سلاح رشاش.	رَمى الإعصارَ الأطنانَ مِنْ المعدنِ , الخشب والزجاج إلى الهواءِ بقوَّةِ سلاح رشاش.
The survivors bore all the hallmarks.	حَملَ الباقون على قيد الحياةَ كُلّ العلامات.	حَملَ الباقون على قيد الحياةَ كُلّ العلامات.
Even mud and flecks of dirt had been driven at such high speeds that they'd been forced deep into the skin.	حتى الطين وبُقَع الوسخِ كَانا قَدْ قِيدا باتجاه مثل هذه السرعةِ العاليةِ بأنَّ هم أُجبروا إلى عُمقَ الجلدِ.	حتى الطين وبُقَع الوسخِ كَانا قَدْ قِيدا باتجاه مثل هذه السرعةِ العاليةِ بأنَّ هم أُجبروا إلى عُمقَ الجلدِ.
In an area of less than two square miles, ten of their neighbours had been killed.	في منطقةِ أقل مِنْ ميلين مربّعينِ , عشَر مِنْ جيرانِهم كَانوا قَدْ قُتِلوا.	في منطقة تقل عن مساحة ميلين مربعين، قُتل عشرة من جيرانهم.
The next day, the damage became clear.	اليوم التالي، أصبحَ الضررُ واضحاً.	اليوم التالي، أصبحَ الضررُ واضحاً.
The Bridge Creek tornado had mown a vast strip 20 miles long through the town and surrounding hills.	إعصار جدولِ الجسرَ قَصَّ شريط واسع 20 ميل لمدة طويلة خلال البلدةِ والتلالِ المحيطةِ.	إعصار بريدج كريك قام بتجريف شريط واسع يمتد لمسافة 20 ميل عبر المدينة والتلال المحيطة.
In all, 65 tornadoes hit the Oklahoma region that day.	إجمالاً، 65 إعصار ضَربتْ منطقة أوكلاهوما ذلك اليومِ.	إجمالاً، 65 إعصار ضَربتْ منطقة أوكلاهوما ذلك اليومِ.
42 people died and nearly 3,500 homes were destroyed in just 11 hours.	اثنان و أربعون شخص ماتوا وتقريباً 3,500 بيت حُطّمتْ في فقط 11 ساعة.	اثنان و أربعون شخص ماتوا وتقريباً 3,500 بيت حُطّمتْ في فقط 11 ساعة.
There were several people killed by that tornado.	كان هناك عِدّة أشخاصَ قَتلوا بذلك الإعصارِ.	قُتِلَ عددٌ من الأشخاصِ بواسطة ذلك الإعصار.
People like the Darnells that lived here on the hill.	يَحْبُّ ناسَ عائلة دارنيل ذلك الذي يعيش هنا على التَلِّ.	يَحْبُّ ناسَ عائلة دارنيل ذلك الذي يعيش هنا على التَلِّ.
Kelly Cox lost her mother up there.	كيلي كوكس فقدت أمّها فوق هناك.	كيلي كوكس فقدت والدتها هناك.
The Underwoods lived over the hill here.	أندر ودس عاشَ على التَلِّ هنا.	عاشت عائلة أندروودز فوق التلة هنا.
Those people will always haunt me.	أولئك الناسِ سَيُطاردونَني دائماً.	سيظل هؤلاء الأشخاص يطاردونني دائمًا.
I hope I never go through anything like that again.	أَتمنّى بأنّني أبداً لا أَمْرُّ بأيّ شئِ مثل هذا ثانيةً.	أَتمنّى بأنّني أبداً لا أَمْرُّ بأيّ شئِ مثل هذا ثانيةً.
Once is enough.	هذا كافيُ.	مرة واحدة كافية.
When a powerful wind hits an object on land, it unleashes some of its energy - a house pulverised or a forest laid flat.	عندما الريح القويَّة تَضْربُ جسماً على الأرضِ، يُطلقُ العنان للبعض مِنْ طاقتِه - بيت سَحقَ أَو غابة سطّحتْ.	عندما يصطدم رياح قوية بجسم على الأرض، فإنها تحرر بعض طاقتها - تدمر المنزل أو تسطح الغابة.
But when the wind hits the water, the transfer of energy can be awesome.	لكن عندما تَضْربُ الريحَ الماءَ , نقل الطاقةِ يُمكنُ أَنْ يَكُونَ رهيبَ.	لكن عندما تَضْربُ الريحَ الماءَ , نقل الطاقةِ يُمكنُ أَنْ يَكُونَ رهيبَ.
Wind creates friction on any surface.	تَخْلقُ الريحَ إحتكاكاً على أيّ سطح.	الريح تُسبب احتكاكاً على أي سطح.
But the largest on the planet is the ocean which covers over 70% of it.	لكن الأكبرَ على الكوكبِ المحيطُ الذي يَغطّي 70 % منه.	لكن الأكبرَ على الكوكبِ المحيطُ الذي يَغطّي 70 % منه.
So it's no surprise to find the friction between wind and water has amazing results.	لذا هو ليس مفاجأةَ لإيجاد الإحتكاك بين الريحِ والماءِ عِنْدَهُ نَتائِجُ مُدهِشةُ.	ليس من المستغرب أن نجد الاحتكاك بين الريح والماء يؤدي إلى نتائج مدهشة.
Hawaii is the best place to test the enormous energy generated by the friction between the two.	هاواي أفضل مكانِ لإختِبار الطاقةِ الهائلةِ ولّدَ بالإحتكاكِ بين الإثنان.	هاواي أفضل مكانِ لإختِبار الطاقةِ الهائلةِ ولّدَ بالإحتكاكِ بين الإثنان.
The folks here are world experts at harnessing it in any way they can.	الناس هنا خبراءَ عالميينَ في تَسخيره في أية حال قدر المستطاع.	الأشخاص هنا خبراء عالميون في استغلاله بأي طريقة يستطيعون.
With just a few metres of nylon and a 20-mile-an-hour breeze, the power of the wind can be turned to a maximum-strength adrenaline buzz.	مَع فقط بضعة أمتار مِنْ النايلونِ و عشرون ميل في الساعة نسيم, قوَّة الريحِ يُمْكِنُ أَنْ تُدارَ إلى أزيز أدرينالينِ قوّةِ أقصى.	مَع فقط بضعة أمتار مِنْ النايلونِ و عشرون ميل في الساعة نسيم, قوَّة الريحِ يُمْكِنُ أَنْ تُدارَ إلى أزيز أدرينالينِ قوّةِ أقصى.
Champion kite surfer Marigold Zoll claims she can get me airborne in a single afternoon.	راكبة أمواج الطائرة الورقيةِ الممتازِ ماريجولد زول يَدّعي بأنّها يُمْكِنُ أَنْ تَحْصلَ علي محمول جواً في العصر الوحيد.	يدّعي ماريغولد زول، البطلة في رياضة ركوب الطائرة الورقية، أنها يمكنها أن تجعلني في الهواء خلال بعد ظهر واحد فقط.
It can't be that difficult - it's only a kite, after all.	هو لا يُمكنُ أَنْ يَكُونَ ذلك صعبِ - هي فقط طائرة ورقية، على أي حال.	هو لا يُمكنُ أَنْ يَكُونَ ذلك صعبِ - هي فقط طائرة ورقية، على أي حال.
If you double the wind speed, you get four times the force.	إذا تُضاعفُت سرعةَ الريحَ , تَحْصلُ على أربع مراتِ من القوةِ.	إذا تُضاعفُت سرعةَ الريحَ , تَحْصلُ على أربع مراتِ من القوةِ.
So add another few miles an hour to the wind speed against my kite now and in theory there'd be enough power to lift the average family car.	يُضيفُ بِضْعَة أميالَ أخرى في السّاعة إلى سرعةِ الريحَ ضدّ طائرتي الورقيةِ الآن ونظرياً هناك سَيَكُونُ بما فيه الكفاية قوَّةَ لرَفْع السيارةِ العائليةِ المتوسطةِ.	إذا قمنا بزيادة عدة أميال في الساعة إلى سرعة الرياح التي تعمل على ضد طائرتي الورقية، بالنظرية، ستكون هناك قوة كافية لرفع سيارة العائلة العادية.
However, it seems today that's not going to work for me.	على أية حال، يَبْدو اليوم الذي لَنْ يَعْملَ لي.	ومع ذلك، يبدو أن ذلك لن ينجح بالنسبة لي اليوم.
So we're getting a bigger kite?	لذا نحن سنحصل على طائرة ورقية أكبر؟	لذا نحن سنحصل على طائرة ورقية أكبر؟
"- Y""eah."""	"- ""نعم """	"- ""نعم """
- I'm heavy and we need some air.	- أَنا ثقيلُ ونحن نَحتاجُ بَعْض الهواءِ.	- أَنا ثقيلُ ونحن نَحتاجُ بَعْض الهواءِ.
- That's the real reason, isn't it?	- ذلك السببُ الحقيقيُ، أليس كذلك؟	- هذا هو السبب الحقيقي، أليس كذلك؟
"- ""That's right."""	"- ""ذلك صحيحُ. """	"""صحيح."""
Bit of a ballerina about me out there.	قطعة راقصة بالية عنيّ هناك.	قطعة راقصة بالية عنيّ هناك.
- Very smooth.	- ناعم جداً.	- ناعم جداً.
"- Y""ou were on your toes."""	"- أنت "" كَانتْ على أصابعِ قدمكِ. """	كنت على قدميك.
Am I a bit too smug for a beginner?	هَلْ أنا متعجرف جداً نوعاً ما لمبتدئ؟	هل أشعر بالرغبة في الاستعراض قليلاً لشخص مبتدئ؟
We'll see how you do on the board.	نحن سَنَرى كيف أنت تَعمَلُ على اللوحةِ.	سنرى كيف ستتصرف على اللوحة.
Just as wind pushes against my kite, it also pushes against the water.	كما الريح تَدْفعُ ضدّ طائرتي الورقيةِ , يَدْفعُ أيضاً ضدّ الماءِ.	كما الريح تَدْفعُ ضدّ طائرتي الورقيةِ , يَدْفعُ أيضاً ضدّ الماءِ.
The result is waves.	النتيجة موجاتُ.	النتيجة موجاتُ.
But getting onto them is not as easy as it looks.	لكن يُصبحُ فيهم لَيسَ بسهولة مثل النظراتَ.	لكن الوصول إليهم ليس بهذه السهولة التي يبدو عليها.
A few tiddly Hawaiian waves can eat you in and spit you out, so imagine what the whoppers can do.	بضعة موجات هاواية صغيرة يُمْكِنُ أَنْ تَأْكلَك وتَبْصقُك , لذا تخيل الهائلَ ما الذي يُمْكِنُ أَنْ يَعمَلُ.	بعض الموجات الهاواي الصغيرة يمكن أن تبتلعك وتقذفك، فتخيل ما يمكن أن تفعله الموجات الكبيرة.
When you think of the chaotic way that waves are born, it's a wonder there's any order to them.	عندما تُفكّرُ بالطريقِ الفوضويِ تلك الموجاتِ ولدت , هو يَشْكُّ هناك أيّ طلب إليهم.	عندما تفكر في الطريقة الفوضوية التي يُولد بها الموجات، فمن العجب أن هناك أي نظام فيها.
In fact, every ocean has its own unique wave rhythm.	في الحقيقة، كُلّ محيط لَهُ إيقاع موجته الخاص الفريد.	في الواقع، كل محيط له إيقاع موجي فريد من نوعه.
You can tell the size of an ocean by the number of times a wave breaks in a single minute.	أنت يُمْكِنُ أَنْ تُخبرَ حجمَ محيطِ بعددِ مرات الامواج المنكسرة في الدقيقة الواحدة.	يُمكنك معرفة حجم المحيط من خلال عدد مرات تكسر الموجة في دقيقة واحدة.
